Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
" Competência: SET/2025, AGO/2025."
Estado: SE.
"Município: AMPARO DE SÃO FRANCISCO, AQUIDABÃ, ARACAJU, ARAUÁ, AREIA BRANCA, BARRA DOS COQUEIROS, BOQUIM, BREJO GRANDE, CAMPO DO BRITO, CANHOBA, CANINDÉ DE SÃO FRANCISCO, CAPELA, CARIRA, CARMÓPOLIS, CEDRO DE SÃO JOÃO, CRISTINÁPOLIS, CUMBE, DIVINA PASTORA, ESTÂNCIA, FEIRA NOVA, FREI PAULO, GARARU, GENERAL MAYNARD, GRACHO CARDOSO, ILHA DAS FLORES, INDIAROBA, ITABAIANA, ITABAIANINHA, ITABI, ITAPORANGA D'AJUDA, JAPARATUBA, JAPOATÃ, LAGARTO, LARANJEIRAS, MACAMBIRA, MALHADA DOS BOIS, MALHADOR, MARUIM, MOITA BONITA, MONTE ALEGRE DE SERGIPE, MURIBECA, NEÓPOLIS, NOSSA SENHORA APARECIDA, NOSSA SENHORA DA GLÓRIA, NOSSA SENHORA DAS DORES, NOSSA SENHORA DE LOURDES, NOSSA SENHORA DO SOCORRO, PACATUBA, PEDRA MOLE, PEDRINHAS, PINHÃO, PIRAMBU, POÇO REDONDO, POÇO VERDE, PORTO DA FOLHA, PROPRIÁ, RIACHÃO DO DANTAS, RIACHUELO, RIBEIRÓPOLIS, ROSÁRIO DO CATETE, SALGADO, SANTA LUZIA DO ITANHY, SANTA ROSA DE LIMA, SANTANA DO SÃO FRANCISCO, SANTO AMARO DAS BROTAS, SÃO CRISTÓVÃO, SÃO DOMINGOS, SÃO FRANCISCO, SÃO MIGUEL DO ALEIXO, SIMÃO DIAS, SIRIRI, TELHA, TOBIAS BARRETO, TOMAR DO GERU, UMBAÚBA."
"Temas para Saúde: Agravos negligenciados, Alimentação saudável, Autocuidado de pessoas com doenças crônicas, Ações de combate ao Aedes aegypti, Cidadania e direitos humanos, Dependência química / tabaco / álcool / outras drogas, Envelhecimento / Climatério / Andropausa / Etc, Plantas medicinais / fitoterapia, Prevenção da violência e promoção da cultura da paz, Saúde ambiental, Saúde bucal, Saúde do trabalhador, Saúde mental, Saúde sexual e reprodutiva, Semana saúde na escola."
"Programa Saúde na Escola: Educação, Saúde."
Nível: INEP (Escolas/Creche).
Tipo Informação: Quantidade de Atividade Coletiva


Uf;Ibge;Municipio;Unidade de Saúde - CNES;Tipo Unidade;Desc Unidade;Equipe - INE;Tipo Equipe;Desc Equipe;INEP (Escolas/Creche);Agravos negligenciados;Alimentação saudável;Autocuidado de pessoas com doe;Ações de combate ao Aedes aegy;Cidadania e direitos humanos;Dependência química / tabaco /;Envelhecimento / Climatério / ;Plantas medicinais / fitoterap;Prevenção da violência e promo;Saúde ambiental;Saúde bucal;Saúde do trabalhador;Saúde mental;Saúde sexual e reprodutiva;Semana saúde na escola;
SE;280040;ARAUÁ;2423170;02;CENTRO DE SAUDE/UNIDADE BASICA;0001679384;72;ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;28021797;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
SE;280760;UMBAÚBA;2421402;02;CENTRO DE SAUDE/UNIDADE BASICA;0001962159;71;ESB - EQUIPE DE SAUDE BUCAL;28024370;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;
SE;280067;BOQUIM;6407641;02;CENTRO DE SAUDE/UNIDADE BASICA;0001907654;71;ESB - EQUIPE DE SAUDE BUCAL;28032373;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;
SE;280600;RIBEIRÓPOLIS;2497166;02;CENTRO DE SAUDE/UNIDADE BASICA;0002169630;71;ESB - EQUIPE DE SAUDE BUCAL;28004809;0;0;0;0;0;0;0;0;0;0;9;0;1;0;0;
SE;280620;SALGADO;7513852;02;CENTRO DE SAUDE/UNIDADE BASICA;0000177849;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28023315;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;
SE;280320;ITAPORANGA D'AJUDA;9222502;02;CENTRO DE SAUDE/UNIDADE BASICA;0002133091;71;ESB - EQUIPE DE SAUDE BUCAL;28072405;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;
SE;280030;ARACAJU;0002429;02;CENTRO DE SAUDE/UNIDADE BASICA;-;-;-;28018818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;
SE;280410;MOITA BONITA;2477254;02;CENTRO DE SAUDE/UNIDADE BASICA;0000175838;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28008243;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;
SE;280350;LAGARTO;2420740;02;CENTRO DE SAUDE/UNIDADE BASICA;0000175382;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28011627;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;
SE;280170;CRISTINÁPOLIS;2420988;01;POSTO DE SAUDE;0001821431;71;ESB - EQUIPE DE SAUDE BUCAL;28031768;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
SE;280070;BREJO GRANDE;2658410;02;CENTRO DE SAUDE/UNIDADE BASICA;0002081229;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28012828;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
SE;280290;ITABAIANA;2477726;02;CENTRO DE SAUDE/UNIDADE BASICA;0000174696;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28031512;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
SE;280470;NOSSA SENHORA DE LOURDES;2420228;02;CENTRO DE SAUDE/UNIDADE BASICA;0000176338;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28013590;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
SE;280210;ESTÂNCIA;6200346;02;CENTRO DE SAUDE/UNIDADE BASICA;0000174343;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28024940;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;
