Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
" Competência: SET/2025, AGO/2025."
Estado: SE.
"Município: AMPARO DE SÃO FRANCISCO, AQUIDABÃ, ARACAJU, ARAUÁ, AREIA BRANCA, BARRA DOS COQUEIROS, BOQUIM, BREJO GRANDE, CAMPO DO BRITO, CANHOBA, CANINDÉ DE SÃO FRANCISCO, CAPELA, CARIRA, CARMÓPOLIS, CEDRO DE SÃO JOÃO, CRISTINÁPOLIS, CUMBE, DIVINA PASTORA, ESTÂNCIA, FEIRA NOVA, FREI PAULO, GARARU, GENERAL MAYNARD, GRACHO CARDOSO, ILHA DAS FLORES, INDIAROBA, ITABAIANA, ITABAIANINHA, ITABI, ITAPORANGA D'AJUDA, JAPARATUBA, JAPOATÃ, LAGARTO, LARANJEIRAS, MACAMBIRA, MALHADA DOS BOIS, MALHADOR, MARUIM, MOITA BONITA, MONTE ALEGRE DE SERGIPE, MURIBECA, NEÓPOLIS, NOSSA SENHORA APARECIDA, NOSSA SENHORA DA GLÓRIA, NOSSA SENHORA DAS DORES, NOSSA SENHORA DE LOURDES, NOSSA SENHORA DO SOCORRO, PACATUBA, PEDRA MOLE, PEDRINHAS, PINHÃO, PIRAMBU, POÇO REDONDO, POÇO VERDE, PORTO DA FOLHA, PROPRIÁ, RIACHÃO DO DANTAS, RIACHUELO, RIBEIRÓPOLIS, ROSÁRIO DO CATETE, SALGADO, SANTA LUZIA DO ITANHY, SANTA ROSA DE LIMA, SANTANA DO SÃO FRANCISCO, SANTO AMARO DAS BROTAS, SÃO CRISTÓVÃO, SÃO DOMINGOS, SÃO FRANCISCO, SÃO MIGUEL DO ALEIXO, SIMÃO DIAS, SIRIRI, TELHA, TOBIAS BARRETO, TOMAR DO GERU, UMBAÚBA."
"Práticas em Saúde: Antropometria, Aplicação tópica de flúor, Desenvolvimento da linguagem, Escovação dental supervisionada, Outro procedimento coletivo, Programa nacional de controle do tabagismo sessão 1, Programa nacional de controle do tabagismo sessão 2, Programa nacional de controle do tabagismo sessão 3, Programa nacional de controle do tabagismo sessão 4, Práticas corporais / atividade física, Saúde auditiva, Saúde ocular, Verificação da situação vacinal."
"Programa Saúde na Escola: Educação, Saúde."
Nível: INEP (Escolas/Creche).
Tipo Informação: Número de participantes


Uf;Ibge;Municipio;Unidade de Saúde - CNES;Tipo Unidade;Desc Unidade;Equipe - INE;Tipo Equipe;Desc Equipe;INEP (Escolas/Creche);Antropometria;Aplicação tópica de flúor;Desenvolvimento da linguagem;Escovação dental supervisionad;Outro procedimento coletivo;Programa nacional de controle ;Práticas corporais / atividade;Saúde auditiva;Saúde ocular;Verificação da situação vacina;
SE;280480;NOSSA SENHORA DO SOCORRO;2421623;02;CENTRO DE SAUDE/UNIDADE BASICA;0002529580;74;EAPP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL;28036140;0;0;0;0;0;0;0;0;0;18;
SE;280760;UMBAÚBA;2421402;02;CENTRO DE SAUDE/UNIDADE BASICA;0000178748;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28024354;143;0;0;0;0;0;0;0;0;0;
SE;280060;BARRA DOS COQUEIROS;4737695;02;CENTRO DE SAUDE/UNIDADE BASICA;0002012472;71;ESB - EQUIPE DE SAUDE BUCAL;28030281;0;124;0;124;0;0;0;0;0;0;
SE;280570;PROPRIÁ;2422581;02;CENTRO DE SAUDE/UNIDADE BASICA;0001977776;71;ESB - EQUIPE DE SAUDE BUCAL;28013913;0;0;0;29;29;0;0;0;0;0;
SE;280030;ARACAJU;0002771;02;CENTRO DE SAUDE/UNIDADE BASICA;0000172537;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28018575;0;0;0;75;0;0;0;0;0;0;
SE;280120;CANINDÉ DE SÃO FRANCISCO;2477106;02;CENTRO DE SAUDE/UNIDADE BASICA;-;-;-;28000200;0;0;0;0;0;0;0;0;0;45;
SE;280420;MONTE ALEGRE DE SERGIPE;2420295;02;CENTRO DE SAUDE/UNIDADE BASICA;-;-;-;28001389;0;0;0;0;0;0;71;0;0;0;
SE;280530;PIRAMBU;2477165;01;POSTO DE SAUDE;0001542265;72;ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;28030737;0;105;0;105;210;0;130;0;118;107;
SE;280320;ITAPORANGA D'AJUDA;2422816;02;CENTRO DE SAUDE/UNIDADE BASICA;-;-;-;28029879;0;0;0;0;0;0;0;0;0;15;
SE;280030;ARACAJU;0003425;02;CENTRO DE SAUDE/UNIDADE BASICA;0002116561;71;ESB - EQUIPE DE SAUDE BUCAL;28018303;0;0;0;30;278;0;0;0;0;0;
SE;280480;NOSSA SENHORA DO SOCORRO;2421623;02;CENTRO DE SAUDE/UNIDADE BASICA;0002529580;74;EAPP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL;28020642;0;0;0;0;0;0;137;0;0;0;
SE;280480;NOSSA SENHORA DO SOCORRO;6880665;74;POLO ACADEMIA DA SAUDE;-;-;-;28060407;0;0;0;0;0;0;628;0;0;0;
SE;280540;POÇO REDONDO;2420090;02;CENTRO DE SAUDE/UNIDADE BASICA;0001956760;71;ESB - EQUIPE DE SAUDE BUCAL;28002393;0;39;0;39;0;0;0;0;0;0;
SE;280440;NEÓPOLIS;7231954;02;CENTRO DE SAUDE/UNIDADE BASICA;0001779028;71;ESB - EQUIPE DE SAUDE BUCAL;28013360;0;33;0;52;0;0;0;0;0;0;
SE;280710;SIMÃO DIAS;2422433;02;CENTRO DE SAUDE/UNIDADE BASICA;0000178462;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28009746;0;0;0;0;0;0;302;0;0;0;
SE;280010;AMPARO DE SÃO FRANCISCO;7009615;02;CENTRO DE SAUDE/UNIDADE BASICA;0001956205;71;ESB - EQUIPE DE SAUDE BUCAL;28012666;0;0;0;12;0;0;0;0;0;0;
SE;280020;AQUIDABÃ;2422654;02;CENTRO DE SAUDE/UNIDADE BASICA;0000171700;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28005163;0;0;0;0;0;0;0;304;304;304;
SE;280030;ARACAJU;0002526;02;CENTRO DE SAUDE/UNIDADE BASICA;0000172251;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28017501;0;0;0;0;0;0;0;0;0;47;
SE;280130;CAPELA;2476908;01;POSTO DE SAUDE;0000173835;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28032632;0;0;0;0;0;0;70;0;0;70;
SE;280150;CARMÓPOLIS;7859082;02;CENTRO DE SAUDE/UNIDADE BASICA;0001741225;71;ESB - EQUIPE DE SAUDE BUCAL;28016203;0;70;0;70;0;0;0;0;0;0;
SE;280030;ARACAJU;9141588;02;CENTRO DE SAUDE/UNIDADE BASICA;0000172596;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28019350;45;0;0;0;0;0;0;0;0;55;
SE;280350;LAGARTO;2420759;02;CENTRO DE SAUDE/UNIDADE BASICA;0001547771;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28011805;42;0;0;0;0;0;33;0;0;0;
SE;280030;ARACAJU;2600366;02;CENTRO DE SAUDE/UNIDADE BASICA;0000173096;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28037537;143;0;0;0;0;0;0;0;0;0;
SE;280690;SÃO FRANCISCO;3605671;02;CENTRO DE SAUDE/UNIDADE BASICA;0001970577;71;ESB - EQUIPE DE SAUDE BUCAL;28016114;0;35;0;35;0;0;0;0;0;0;
SE;280290;ITABAIANA;2546159;02;CENTRO DE SAUDE/UNIDADE BASICA;0002129027;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28030460;0;0;0;0;0;0;0;0;0;15;
SE;280630;SANTA LUZIA DO ITANHY;2423405;02;CENTRO DE SAUDE/UNIDADE BASICA;0000177903;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28026152;0;0;0;0;0;0;134;0;0;0;
SE;280570;PROPRIÁ;2422581;02;CENTRO DE SAUDE/UNIDADE BASICA;0001977768;71;ESB - EQUIPE DE SAUDE BUCAL;28013875;0;0;0;18;18;0;0;0;0;0;
SE;280030;ARACAJU;0002259;02;CENTRO DE SAUDE/UNIDADE BASICA;0000171794;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28017447;1;0;0;0;0;0;0;0;0;0;
SE;280750;TOMAR DO GERU;9706534;02;CENTRO DE SAUDE/UNIDADE BASICA;0001810464;71;ESB - EQUIPE DE SAUDE BUCAL;28032659;0;230;0;230;0;0;0;0;0;0;
SE;280480;NOSSA SENHORA DO SOCORRO;2421623;02;CENTRO DE SAUDE/UNIDADE BASICA;0002529580;74;EAPP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL;28020570;0;0;0;0;0;0;0;0;0;64;
SE;280600;RIBEIRÓPOLIS;2497166;02;CENTRO DE SAUDE/UNIDADE BASICA;0000177741;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28004809;0;0;0;0;0;0;0;0;0;62;
SE;280270;ILHA DAS FLORES;2477181;02;CENTRO DE SAUDE/UNIDADE BASICA;0000174572;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28013212;0;0;0;0;0;0;0;0;0;152;
SE;280030;ARACAJU;0003425;02;CENTRO DE SAUDE/UNIDADE BASICA;0001480952;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28018303;0;0;0;0;71;0;0;0;0;0;
SE;280710;SIMÃO DIAS;2422263;02;CENTRO DE SAUDE/UNIDADE BASICA;0001572679;70;ESF - EQUIPE DE SAÚDE DA FAMÍLIA;28009290;0;122;0;82;0;0;51;0;51;0;
