,id_municipio_ibge,id_municipio_ms,nm_municipio,ds_regiao_saude,idh_2010,ds_tipo,DRE
0,2800100,280010,Amparo do São Francisco,Propriá,611,Rural Adjacente,DRE'06 (Propriá)
1,2800209,280020,Aquidabã,Propriá,578,Intermediário Adjacente,DRE'05 (N.Sra.Dores)
2,2800308,280030,Aracaju,Aracaju,0.77,Urbano,DEA (Aracaju)
3,2800407,280040,Arauá,Estância,595,Rural Adjacente,DRE'01 (Estância)
4,2800506,280050,Areia Branca,Itabaiana,579,Rural Adjacente,DRE'03 (Itabaiana)
5,2800605,280060,Barra dos Coqueiros,Aracaju,649,Urbano,DRE'08 (N.Sra.Socorro)
6,2800670,280067,Boquim,Estância,604,Intermediário Adjacente,DRE'01 (Estância)
7,2800704,280070,Brejo Grande,Propriá,0.54,Rural Adjacente,DRE'06 (Propriá)
8,2801009,280100,Campo do Brito,Itabaiana,621,Rural Adjacente,DRE'03 (Itabaiana)
9,2801108,280110,Canhoba,Propriá,569,Rural Adjacente,DRE'06 (Propriá)
10,2801207,280120,Canindé de São Francisco,Nossa Senhora da Glória,567,Intermediário Adjacente,DRE'09 (N.Sra.Glória)
11,2801306,280130,Capela,Nossa Senhora do Socorro,615,Intermediário Adjacente,DRE'04 (Japaratuba)
12,2801405,280140,Carira,Itabaiana,588,Rural Adjacente,DRE'03 (Itabaiana)
13,2801504,280150,Carmópolis,Nossa Senhora do Socorro,643,Urbano,DRE'04 (Japaratuba)
14,2801603,280160,Cedro de São João,Propriá,623,Intermediário Adjacente,DRE'06 (Propriá)
15,2801702,280170,Cristinápolis,Estância,553,Rural Adjacente,DRE'01 (Estância)
16,2801900,280190,Cumbe,Nossa Senhora do Socorro,604,Rural Adjacente,DRE'05 (N.Sra.Dores)
17,2802007,280200,Divina Pastora,Aracaju,0.61,Urbano,DRE'04 (Japaratuba)
18,2802106,280210,Estância,Estância,647,Urbano,DRE'01 (Estância)
19,2802205,280220,Feira Nova,Nossa Senhora da Glória,584,Rural Adjacente,DRE'05 (N.Sra.Dores)
20,2802304,280230,Frei Paulo,Itabaiana,589,Rural Adjacente,DRE'03 (Itabaiana)
21,2802403,280240,Gararu,Nossa Senhora da Glória,564,Rural Adjacente,DRE'07 (Gararu)
22,2802502,280250,General Maynard,Nossa Senhora do Socorro,645,Urbano,DRE'04 (Japaratuba)
23,2802601,280260,Gracho Cardoso,Nossa Senhora da Glória,577,Rural Adjacente,DRE'05 (N.Sra.Dores)
24,2802700,280270,Ilha das Flores,Propriá,562,Rural Adjacente,DRE'06 (Propriá)
25,2802809,280280,Indiaroba,Estância,0.58,Rural Adjacente,DRE'01 (Estância)
26,2802908,280290,Itabaiana,Itabaiana,642,Urbano,DRE'03 (Itabaiana)
27,2803005,280300,Itabaianinha,Estância,556,Rural Adjacente,DRE'01 (Estância)
28,2803104,280310,Itabi,Nossa Senhora da Glória,602,Rural Adjacente,DRE'05 (N.Sra.Dores)
29,2803203,280320,Itaporanga d'Ajuda,Aracaju,561,Rural Adjacente,DRE'08 (N.Sra.Socorro)
30,2803302,280330,Japaratuba,Nossa Senhora do Socorro,621,Rural Adjacente,DRE'04 (Japaratuba)
31,2803401,280340,Japoatã,Propriá,0.56,Rural Adjacente,DRE'06 (Propriá)
